Skeleton_ID,Skeleton_Comment,Node_ID,X,Y,Z,Radius,Node_Comment,index,From_Soma?,Branch_node?,End_node?,Dendrite_Level,Euclidean_Distance_From_Soma,Sholl_Classification,Parent_ID
133,,16765,25287,3300,1423,2.16,.,11612,.,.,.,tertiary,722.6638222576248,Apical,16764
133,,16766,25236,3264,1398,3.1104,.,11613,.,.,.,tertiary,749.5632061407497,Apical,16765
133,,16767,25211,3240,1382,2.592,.,11614,.,.,.,tertiary,769.7363184883509,Apical,16766
133,,16768,25162,3187,1367,1.8,.,11615,.,.,yes,tertiary,822.2292867564375,Apical,16767
133,,16769,25319,3305,1434,2.592,.,11616,.,.,.,tertiary,723.3429338840602,Apical,16763
133,,16770,25312,3272,1434,2.592,.,11617,.,.,.,tertiary,753.8839433228433,Apical,16769
133,,16771,25311,3253,1420,2.592,.,11618,.,.,.,tertiary,767.419702639957,Apical,16770
133,,16772,25268,3197,1409,3.73248,.,11619,.,.,.,tertiary,816.4882117948795,Apical,16771
133,,16773,25193,3135,1429,4.29982,.,11620,.,.,.,tertiary,884.4354131308854,Apical,16772
133,,16774,25136,3130,1450,3.73248,.,11621,.,.,yes,tertiary,901.463809589714,Apical,16773
133,,16775,25433,4090,1305,16.049,.,11622,yes,.,.,primary,231.73044685582428,Basal,11823
133,,16776,25509,4193,1330,7.73967,.,11623,.,yes,.,secondary,352.5464508401694,Basal,16775
133,,16777,25530,4256,1326,1.5,.,11624,.,.,.,secondary,405.37513490592886,Basal,16776
133,,16778,25532,4265,1317,2.16,.,11625,.,.,.,secondary,409.86461179272357,Basal,16777
133,,16779,25540,4352,1298,3.1104,.,11626,.,.,.,secondary,473.7478232139964,Basal,16778
133,,16780,25519,4483,1263,4.47898,.,11627,.,.,.,secondary,566.2596577542851,Basal,16779
133,,16781,25512,4572,1259,3.1104,.,11628,.,.,yes,secondary,643.0132191487202,Basal,16780
133,,16782,25567,4220,1356,4.47898,.,11629,.,.,.,secondary,419.76421953282295,Basal,16776
133,,16783,25652,4249,1404,5.37477,.,11630,.,.,.,secondary,517.6446657698696,Basal,16782
133,,16784,25690,4273,1416,7.73967,.,11631,.,yes,.,tertiary,563.5246223546935,Basal,16783
133,,16785,25718,4258,1407,2.592,.,11632,.,.,.,tertiary,574.1968303639441,Basal,16784
133,,16786,25742,4251,1392,3.1104,.,11633,.,.,yes,tertiary,584.7426784492475,Basal,16785
