Skeleton ID,Skeleton Comment,Node ID,X,Y,Z,Radius,Node Comment
,,10686,13279,9617,1779,6.44972,.
,,10687,12966,9518,1659,4.47898,.
,,10688,13023,9632,1681,3.73248,.
,,10689,13072,9764,1727,6.44972,.
,,10690,12909,9081,1681,7.73967,.
,,10691,12989,9059,1737,6.44972,.
,,10692,13042,9027,1779,6.44972,.
,,8289,11533,7654,531,126.601,First Node
,,8290,11573,7462,533,4.47898,.
,,8291,11574,7150,535,5.37477,.
,,8292,11574,7093,547,6.44972,.
,,8293,11635,7003,541,3.73248,.
,,8294,11663,6958,510,3.1104,.
,,8295,11694,6930,496,3.1104,.
,,8296,11740,6857,476,3.1104,.
,,8297,11770,6793,449,4.29982,.
,,8298,11840,6709,433,3.58318,.
,,8299,11896,6690,448,3.1104,.
,,8300,11916,6686,469,3.1104,.
,,8301,11968,6634,505,3.1104,.
,,8302,12029,6591,539,3.1104,.
,,8303,12057,6580,538,3.1104,.
,,8304,12111,6554,569,2.75188,.
,,8305,12139,6550,579,3.30226,.
,,8306,12173,6531,599,4.47898,.
,,8307,12223,6511,607,2.86654,.
,,8308,12263,6498,592,3.1104,.
,,8309,12312,6473,617,2.592,.
,,8310,12343,6445,647,3.1104,.
,,8311,12392,6413,680,6.44972,.
,,8312,12455,6358,714,3.1104,.
,,8313,12486,6349,752,3.1104,.
,,8314,12533,6285,776,3.1104,.
,,8315,12565,6269,831,2.16,.
,,8316,12601,6214,882,3.1104,.
,,8317,12689,6124,950,3.1104,.
,,8318,12723,6094,982,1.728,.
,,8319,12773,6066,1025,2.16,.
,,8320,12801,6057,1078,2.98598,.
,,8321,12873,5999,1197,2.592,.
,,8322,11548,6909,554,4.47898,.
,,8323,11524,6804,589,3.73248,.
,,8324,11479,6697,611,3.1104,.
,,8325,11451,6595,638,4.47898,.
,,8326,11452,6501,653,3.73248,.
,,8327,11460,6413,637,3.73248,.
,,8328,11458,6296,614,3.43985,.
,,8329,11481,6209,599,4.12782,.
,,8330,11494,6107,583,2.86654,.
,,8331,11478,6007,554,3.73248,.
,,8332,11469,5972,537,3.1104,.
,,8333,11466,5907,532,2.98598,.
,,8334,11453,5842,507,3.1104,.
,,8335,11445,5749,476,4.47898,.
,,8336,11429,5655,433,3.1104,.
,,8337,11411,5588,407,3.73248,.
,,8338,11385,5553,393,3.1104,.
,,8339,11359,5473,363,3.1104,.
,,8340,11339,5413,340,2.592,.
,,8341,11305,5306,304,3.1104,.
,,8342,11277,5228,252,3.1104,.
,,8343,11253,5186,196,3.1104,.
,,8344,11705,7701,498,7.73967,.
,,8345,11762,7699,468,5.15978,.
,,8346,11820,7711,415,5.47805,.
,,8347,11865,7711,391,5.37477,.
,,8348,11955,7730,332,3.73248,.
,,8349,12070,7757,266,3.73248,.
,,8350,12088,7770,249,2.592,.
,,8351,12128,7778,231,3.1104,MA
,,8352,12239,7826,180,5.15978,.
,,8353,12368,7839,88,4.47898,.
,,8354,12403,7839,58,4.47898,.
,,8355,12463,7839,17,4.47898,.
,,8356,12507,7839,3,3.1104,.
,,8357,11584,6341,527,94.872,First Node
,,8358,11695,6342,502,7.73967,.
,,8359,11699,6302,472,3.1104,.
,,8360,11697,6295,443,2.16,.
,,8361,11720,6258,417,3.73248,.
,,8362,11743,6213,381,4.47898,.
,,8363,11799,6084,307,4.29982,.
,,8364,11831,6026,280,3.73248,.
,,8365,11890,5992,292,3.73248,.
,,8366,12003,5987,326,3.73248,.
,,8367,12062,5977,338,3.1104,.
,,8368,12118,5948,346,2.16,.
,,8369,12157,5933,343,3.73248,.
,,8370,12240,5878,331,2.16,.
,,8371,12253,5843,331,2.592,.
,,8372,12275,5826,326,3.1104,.
,,8373,11761,6381,455,4.47898,.
,,8374,11843,6365,395,2.592,.
,,8375,11894,6352,365,3.1104,.
,,8376,11917,6354,352,2.48832,.
,,8377,11945,6355,345,2.98598,.
,,8378,11966,6341,334,2.48832,.
,,8379,12006,6327,315,1.8,.
,,8380,12048,6320,297,2.16,.
,,8381,12108,6328,274,2.16,.
,,8382,12143,6349,265,2.16,.
,,8383,11543,6463,491,6.44972,.
,,8384,11512,6482,454,3.73248,.
,,8385,11506,6491,424,3.58318,.
,,8386,11495,6569,374,4.29982,.
,,8387,11468,6664,353,5.37477,.
,,8388,11443,6743,328,4.47898,.
,,8389,11435,6769,283,4.47898,.
,,8390,11431,6796,257,3.1104,.
,,8391,11426,6851,215,3.1104,.
,,8392,11424,6909,131,4.47898,.
,,8393,11413,6977,20,3.73248,.
,,8394,11408,6977,1,3.1104,.
